ID,Name,Active,Social,Connection,Neighbors,X,Y
1,Süleymaniye Camii,0.8,400,4,2;4;5;33,200,250
2,Sultanahmet Meydanı,0.9,600,4,1;3;11;21,200,350
3,Kapalı Çarşı,0.95,350,3,6;9;33,150,200
4,Galata Kulesi,0.95,950,4,1;5;7;26,400,200
5,İstiklal Caddesi,1.0,800,5,1;4;6;11;41,450,150
6,Dolmabahçe Sarayı,0.7,700,2,3;5,500,250
7,Ortaköy Sahili,0.8,900,5,4;6;8;10;30,700,200
8,Kız Kulesi,0.82,600,3,7;16;45,800,550
9,Mısır Çarşısı,0.8,700,4,3;11;34;45,250,300
10,Yerebatan Sarnıcı,0.85,750,3,7;11;35,300,400
11,Topkapı Sarayı,0.9,850,4,2;5;9;10,300,450
12,Pierre Loti Tepesi,0.78,550,2,13;23,100,200
13,Eyüp Sultan Camii,0.88,880,2,12;23,300,500
14,Gülhane Parkı,0.8,500,3,1;2;18,300,350
15,Rumeli Hisarı,0.7,450,3,10;17;42,1000,300
16,Beylerbeyi Sarayi,0.7,380,2,15;17,900,350
17,Çırağan Sarayı,0.75,400,2,15;16,650,200
18,Yıldız Sarayı,0.65,350,2,14;31;50,550,200
19,Anadolu Hisarı,0.6,250,2,17;49,950,200
20,Arkeoloji Müzesi,0.72,420,3,1;11;22,400,500
21,Dikilitaş,0.75,300,3,2;8;17,150,400
22,Aya İrini,0.8,200,2,20;23,300,250
23,Kariye Müzesi,0.9,400,1,12,50,150
24,Miniatürk,0.7,500,2,25;29,350,550
25,Panorama 1453,0.65,480,1,24,700,500
26,Galata Mevlevihanesi,0.85,320,4,4;13;22;28,400,580
27,Çiçek Pasajı,0.9,600,3,5;27;41,470,120
28,Pera Müzesi,0.8,550,2,26;41,420,130
29,İstanbul Modern,0.85,700,2,38;39,520,350
30,Beşiktaş Sahil,0.95,950,4,1;6;7;32,600,250
31,Yıldız Parkı,0.8,400,3,18;32;47,550,150
32,Maçka Parkı,0.85,500,3,30;31;46,500,200
33,Büyük Valide Han,0.7,150,2,1;3,180,230
34,Baharat Çarşısı,0.88,680,1,9,740,380
35,Caferağa Medresesi,0.75,180,2,10;21,800,300
36,Balat Evleri,0.9,800,3,3;18;37,850,450
37,Fener Rum Patrikhanesi,0.8,450,2,9;36,90,150
38,Karaköy İskelesi,0.95,850,3,29;38;45,410,230
39,Galataport,1.0,1000,4,8;11;24;38,430,220
40,Atatürk Kültür Merkezi,0.8,400,2,7;41,580,120
41,Taksim Meydanı,1.0,1200,6,5;14;22;27;28;44,480,600
42,Emirgan Korusu,0.9,900,2,15;36,920,150
43,Belgrad Ormanı,0.7,300,1,44,850,400
44,Atatürk Arboretumu,0.8,250,1,43,870,300
45,Haydarpaşa Garı,0.75,400,2,8;46,800,450
46,Kadıköy Boğa Heykeli,0.95,900,4,16;27;45;47,850,250
47,Moda Sahili,0.9,850,3,2;19;46,850,500
48,Bağdat Caddesi,0.95,950,5,4;12;28;37;47,900,380
49,Çamlıca Tepesi,0.85,600,2,19;31,1000,400
50,Adalar İskelesi,0.9,750,3,8;23;45,1100,600
